강수량,Latitude,Longitude,elevation,펌프대수(대),불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢),시도시군구
0,35.0839909,126.8063276,20.91157531738281,4.0,27.86,16.88,60.58,남구
0,35.1380862,126.9084841,69.44525909423828,4.0,27.86,16.88,60.58,남구
0,35.1302761,126.9060598,53.80326080322266,4.0,27.86,16.88,60.58,남구
0,35.1468569,126.9004514,61.31507873535156,4.0,27.86,16.88,60.58,남구
0,35.1425743,126.8904667,37.27225112915039,4.0,27.86,16.88,60.58,남구
0,35.13237489999999,126.9062241,49.0908317565918,4.0,27.86,16.88,60.58,남구
0,35.1286721,126.8954258,47.65446853637695,4.0,27.86,16.88,60.58,남구
0,35.1289256,126.9073692,58.69588851928711,4.0,27.86,16.88,60.58,남구
0,35.1473079,126.8929851,50.34261703491211,4.0,27.86,16.88,60.58,남구
0,35.08703819999999,126.8168935,25.19536399841309,4.0,27.86,16.88,60.58,남구
0,35.1411778,126.9169783,52.51728820800781,4.0,27.86,16.88,60.58,남구
0,35.1474445,126.8905492,49.13567352294922,4.0,27.86,16.88,60.58,남구
0,35.13381469999999,126.9184437,61.53417587280273,4.0,27.86,16.88,60.58,남구
0,35.1444498,126.8922801,45.8825798034668,4.0,27.86,16.88,60.58,남구
0,35.1430335,126.9084017,64.36648559570312,4.0,27.86,16.88,60.58,남구
0,35.1072946,126.8759744,51.27016067504883,4.0,27.86,16.88,60.58,남구
0,35.1351336,126.8961936,41.72944641113281,4.0,27.86,16.88,60.58,남구
0,35.1345277,126.9111286,57.21686553955078,4.0,27.86,16.88,60.58,남구
0,35.1343066,126.8960402,41.72103500366211,4.0,27.86,16.88,60.58,남구
0,35.1444482,126.910932,54.26612854003906,4.0,27.86,16.88,60.58,남구
0,35.129114,126.9265246,61.89007949829102,4.0,27.86,16.88,60.58,남구
0,35.1377633,126.8922838,41.0,4.0,27.86,16.88,60.58,남구
0,35.1291711,126.9257308,63.32523727416992,4.0,27.86,16.88,60.58,남구
0,35.1355417,126.8918708,41.52826309204102,4.0,27.86,16.88,60.58,남구
0,35.1371341,126.8934688,39.9943962097168,4.0,27.86,16.88,60.58,남구
0,35.1347779,126.894002,41.11412048339844,4.0,27.86,16.88,60.58,남구
0,35.1335733,126.9172302,60.81022644042969,4.0,27.86,16.88,60.58,남구
0,35.1320205,126.9111485,56.38140487670898,4.0,27.86,16.88,60.58,남구
0,35.14033939999999,126.8900854,39.09067535400391,4.0,27.86,16.88,60.58,남구
0,35.1482949,126.9015918,55.03770065307617,4.0,27.86,16.88,60.58,남구
0,35.1340277,126.9137242,55.78017425537109,4.0,27.86,16.88,60.58,남구
0,35.1444398,126.8997108,55.4985237121582,4.0,27.86,16.88,60.58,남구
0,35.1264101,126.8953778,53.54512023925781,4.0,27.86,16.88,60.58,남구
0,35.0715609,126.8372741,32.26816177368164,4.0,27.86,16.88,60.58,남구
0,35.134025,126.9068827,47.62252426147461,4.0,27.86,16.88,60.58,남구
0,35.129051,126.9135695,65.17179107666016,4.0,27.86,16.88,60.58,남구
0,35.1306255,126.9229107,62.72392272949219,4.0,27.86,16.88,60.58,남구
0,35.1294082,126.9251297,63.39722442626953,4.0,27.86,16.88,60.58,남구
0,35.1328111,126.9161816,61.14703750610352,4.0,27.86,16.88,60.58,남구
0,35.1304513,126.9231569,62.86838912963867,4.0,27.86,16.88,60.58,남구
0,35.1399828,126.8899261,39.69082641601562,4.0,27.86,16.88,60.58,남구
0,35.1363967,126.8960321,44.71987915039062,4.0,27.86,16.88,60.58,남구
0,35.1265795,126.9114472,52.57248687744141,4.0,27.86,16.88,60.58,남구
0,35.1272173,126.9067965,60.84580230712891,4.0,27.86,16.88,60.58,남구
0,35.1123474,126.8993501,80.52416229248047,4.0,27.86,16.88,60.58,남구
0,35.1409834,126.888797,39.18584060668945,4.0,27.86,16.88,60.58,남구
0,35.1469138,126.8984587,65.97940063476562,4.0,27.86,16.88,60.58,남구
0,35.1381812,126.8897735,44.74945449829102,4.0,27.86,16.88,60.58,남구
0,35.150642,126.8955001,54.88630294799805,4.0,27.86,16.88,60.58,남구
0,35.0925848,126.8595395,52.53658294677734,4.0,27.86,16.88,60.58,남구
0,35.1298507,126.9183551,74.62483978271484,4.0,27.86,16.88,60.58,남구
0,35.134627,126.8968254,41.94737243652344,4.0,27.86,16.88,60.58,남구
0,35.1439299,126.910122,60.68215942382812,4.0,27.86,16.88,60.58,남구
0,35.1368859,126.9075258,57.30042266845703,4.0,27.86,16.88,60.58,남구
0,35.1288239,126.9137899,65.33360290527344,4.0,27.86,16.88,60.58,남구
0,35.1359638,126.892509,40.21188735961914,4.0,27.86,16.88,60.58,남구
0,35.1409851,126.887768,41.11850738525391,4.0,27.86,16.88,60.58,남구
0,35.1290446,126.9107655,54.19839477539062,4.0,27.86,16.88,60.58,남구
0,35.13502870000001,126.9091948,55.18196868896484,4.0,27.86,16.88,60.58,남구
0,35.1403791,126.8872114,45.33803939819336,4.0,27.86,16.88,60.58,남구
0,35.1281234,126.9186827,77.05489349365234,4.0,27.86,16.88,60.58,남구
0,35.1346918,126.8978313,42.9078483581543,4.0,27.86,16.88,60.58,남구
0,35.1363536,126.9017891,52.55278015136719,4.0,27.86,16.88,60.58,남구
0,35.1517056,126.8997291,60.82062530517578,4.0,27.86,16.88,60.58,남구
0,35.1321041,126.8933263,44.76285552978516,4.0,27.86,16.88,60.58,남구
0,35.1271005,126.9170236,73.94539642333984,4.0,27.86,16.88,60.58,남구
0,35.130629,126.8975568,49.91170501708984,4.0,27.86,16.88,60.58,남구
0,35.1193349,126.8958784,72.20184326171875,4.0,27.86,16.88,60.58,남구
0,35.1438497,126.8997995,57.34649276733398,4.0,27.86,16.88,60.58,남구
0,35.1334111,126.8981546,45.79102325439453,4.0,27.86,16.88,60.58,남구
0,35.0871861,126.8402558,29.51709365844727,4.0,27.86,16.88,60.58,남구
0,35.1321715,126.9128458,59.2005729675293,4.0,27.86,16.88,60.58,남구
0,35.1477618,126.9011615,58.44536972045898,4.0,27.86,16.88,60.58,남구
0,35.12751799999999,126.9088301,58.30825042724609,4.0,27.86,16.88,60.58,남구
0,35.0948748,126.8771148,65.28607940673828,4.0,27.86,16.88,60.58,남구
0,35.129848,126.9252183,61.7901611328125,4.0,27.86,16.88,60.58,남구
0,35.1325446,126.8954282,41.66165542602539,4.0,27.86,16.88,60.58,남구
0,35.1296485,126.9257493,61.726318359375,4.0,27.86,16.88,60.58,남구
0,35.1275661,126.9100228,54.79287338256836,4.0,27.86,16.88,60.58,남구
0,35.1120938,126.8820801,80.88836669921875,4.0,27.86,16.88,60.58,남구
0,35.14076680000001,126.8894739,38.91420364379883,4.0,27.86,16.88,60.58,남구
0,35.1465975,126.8888697,42.67812347412109,4.0,27.86,16.88,60.58,남구
0,35.1405636,126.8955797,51.36537551879883,4.0,27.86,16.88,60.58,남구
0,35.1414291,126.8875909,40.45924377441406,4.0,27.86,16.88,60.58,남구
0,35.1313006,126.9132083,62.17160797119141,4.0,27.86,16.88,60.58,남구
0,35.144856,126.9014558,54.9071044921875,4.0,27.86,16.88,60.58,남구
0,35.1412327,126.8869002,42.37126541137695,4.0,27.86,16.88,60.58,남구
0,35.129792,126.9236994,65.63554382324219,4.0,27.86,16.88,60.58,남구
0,35.1215892,126.9206426,82.9164810180664,4.0,27.86,16.88,60.58,남구
0,35.1393654,126.8907481,39.02710723876953,4.0,27.86,16.88,60.58,남구
0,35.12967860000001,126.9056971,53.88040161132812,4.0,27.86,16.88,60.58,남구
0,35.1187542,126.897382,66.68492889404297,4.0,27.86,16.88,60.58,남구
0,35.1087928,126.8854356,56.53895950317383,4.0,27.86,16.88,60.58,남구
0,35.1453418,126.9054971,59.40109634399414,4.0,27.86,16.88,60.58,남구
0,35.0569493,126.7828605,13.61712646484375,4.0,27.86,16.88,60.58,남구
0,35.0658338,126.801576,18.06392860412598,4.0,27.86,16.88,60.58,남구
0,35.1398431,126.8952129,49.64484024047852,4.0,27.86,16.88,60.58,남구
0,35.1299667,126.897861,51.60487747192383,4.0,27.86,16.88,60.58,남구
0,35.1394672,126.9153468,55.59948348999023,4.0,27.86,16.88,60.58,남구
0,35.14525310000001,126.8883419,40.60830307006836,4.0,27.86,16.88,60.58,남구
0,35.1343882,126.8927901,43.47921752929688,4.0,27.86,16.88,60.58,남구
0,35.1381646,126.8941736,42.3918342590332,4.0,27.86,16.88,60.58,남구
0,35.1449729,126.9057449,61.05763244628906,4.0,27.86,16.88,60.58,남구
0,35.1511627,126.9006345,64.1425552368164,4.0,27.86,16.88,60.58,남구
0,35.1464246,126.8887628,42.61855697631836,4.0,27.86,16.88,60.58,남구
0,35.1303908,126.9218381,75.38094329833984,4.0,27.86,16.88,60.58,남구
0,35.15186509999999,126.8996707,59.04736709594727,4.0,27.86,16.88,60.58,남구
0,35.1378118,126.9035125,64.4981689453125,4.0,27.86,16.88,60.58,남구
0,35.1465097,126.8936929,52.79327774047852,4.0,27.86,16.88,60.58,남구
0,35.1387953,126.8963402,52.87007141113281,4.0,27.86,16.88,60.58,남구
0,35.14796949999999,126.9025694,51.40118026733398,4.0,27.86,16.88,60.58,남구
0,35.1474827,126.9067464,55.53184509277344,4.0,27.86,16.88,60.58,남구
0,35.1412339,126.8884438,39.17871856689453,4.0,27.86,16.88,60.58,남구
0,35.0732376,126.8223773,19.57572365,4.0,27.86,16.88,60.58,남구
0,35.0611889,126.7909689,12.73195171356201,4.0,27.86,16.88,60.58,남구
0,35.1376267,126.8940454,40.64082717895508,4.0,27.86,16.88,60.58,남구
0,35.1359599,126.9063283,55.16454696655273,4.0,27.86,16.88,60.58,남구
0,35.1318096,126.9046347,50.23849487304688,4.0,27.86,16.88,60.58,남구
0,35.147294,126.9034508,47.50146102905273,4.0,27.86,16.88,60.58,남구
0,35.1446423,126.8930363,49.7608528137207,4.0,27.86,16.88,60.58,남구
0,35.1309181,126.914187,65.6572265625,4.0,27.86,16.88,60.58,남구
0,35.1280913,126.908448,57.19326400756836,4.0,27.86,16.88,60.58,남구
0,35.1131411,126.9031246,79.81731414794922,4.0,27.86,16.88,60.58,남구
0,35.1418505,126.8942761,47.12757873535156,4.0,27.86,16.88,60.58,남구
0,35.1443673,126.8916901,44.06219863891602,4.0,27.86,16.88,60.58,남구
0,35.139276,126.8918979,40.44063949584961,4.0,27.86,16.88,60.58,남구
0,35.137794,126.8930763,40.61642074584961,4.0,27.86,16.88,60.58,남구
0,35.1395211,126.8960534,53.44562530517578,4.0,27.86,16.88,60.58,남구
0,35.1252722,126.9096562,56.57664489746094,4.0,27.86,16.88,60.58,남구
0,35.1400473,126.9063099,70.62395477294922,4.0,27.86,16.88,60.58,남구
0,35.134414,126.9217129,58.63016128540039,4.0,27.86,16.88,60.58,남구
0,35.1446913,126.9041559,53.33489227294922,4.0,27.86,16.88,60.58,남구
0,35.1428447,126.9019957,55.67488861083984,4.0,27.86,16.88,60.58,남구
0,35.1352282,126.8961211,42.05503463745117,4.0,27.86,16.88,60.58,남구
0,35.05451040000001,126.8113739,17.35573196411133,4.0,27.86,16.88,60.58,남구
0,35.1360143,126.896325,44.9543342590332,4.0,27.86,16.88,60.58,남구
0,35.1437632,126.8879009,38.01863098144531,4.0,27.86,16.88,60.58,남구
0,35.1286657,126.8951517,48.15181732177734,4.0,27.86,16.88,60.58,남구
0,35.148586,126.9070273,48.52210235595703,4.0,27.86,16.88,60.58,남구
0,35.1189268,126.8966756,68.35358428955078,4.0,27.86,16.88,60.58,남구
0,35.1517606,126.9014795,52.16717529296875,4.0,27.86,16.88,60.58,남구
0,35.0812477,126.8322794,23.79419708251953,4.0,27.86,16.88,60.58,남구
0,35.0535206,126.8115219,16.51754570007324,4.0,27.86,16.88,60.58,남구
