강수량,Latitude,Longitude,elevation,침수피해여부,펌프대수(대),불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢)
0.0,35.1646555,126.9320193,64.91008758544922,0.0,0.0,25.52,30.49,119.46
0.0,35.1311907,126.9134425,62.68844985961914,0.0,4.0,27.86,16.88,60.58
0.0,35.168693,126.8160002,22.38428688049316,0.0,25.0,22.06,48.99,222.05
19.2,35.0560514,126.7833532,13.0752124786377,0.0,4.0,27.86,16.88,60.58
0.0,35.1798962,126.9131646,52.94740295410156,0.0,0.0,25.52,30.49,119.46
0.0,35.1520454,126.8790543,37.35263824462891,0.0,3.0,42.14,20.02,47.52
0.0,35.1561617,126.9082429,43.71432495117188,0.0,0.0,25.52,30.49,119.46
4.0,35.1343012,126.9194116,59.69325256347656,0.0,4.0,27.86,16.88,60.58
0.0,35.1591659,126.9159472,44.56113815307617,0.0,0.0,16.8,8.19,48.74
0.0,35.1456212,126.8918404,46.73618698120117,0.0,4.0,27.86,16.88,60.58
29.1,35.1640188,126.9184489,46.28265380859375,0.0,0.0,16.8,8.19,48.74
4.0,35.200338,126.9546291,69.02775573730469,0.0,0.0,25.52,30.49,119.46
7.2,35.1729787,126.9368525,88.36902618408203,0.0,0.0,25.52,30.49,119.46
0.0,35.1442828,126.910099,57.8821907043457,0.0,4.0,27.86,16.88,60.58
16.4,35.2244076,126.8256366,44.97801208496094,0.0,25.0,22.06,48.99,222.05
0.0,35.1474559,126.9236181,55.80733489990234,0.0,0.0,16.8,8.19,48.74
43.7,35.1328028,126.9320618,71.06591796875,0.0,0.0,16.8,8.19,48.74
19.1,35.1322057,126.8962854,42.25454330444336,0.0,4.0,27.86,16.88,60.58
0.0,35.1611167,126.9082856,43.00119400024414,0.0,0.0,25.52,30.49,119.46
0.0,35.2444032,126.9155989,40.17932510375977,0.0,0.0,25.52,30.49,119.46
10.7,35.1477206,126.9269732,59.1411247253418,0.0,0.0,16.8,8.19,48.74
0.1,35.1729787,126.9368525,88.36902618408203,0.0,0.0,25.52,30.49,119.46
0.0,35.1291643,126.7922257,18.43770027160645,0.0,25.0,22.06,48.99,222.05
0.0,35.1612018,126.939496,107.8034591674805,0.0,0.0,25.52,30.49,119.46
0.0,35.1602219,126.9202578,47.82961654663086,0.0,0.0,16.8,8.19,48.74
0.0,35.1502589,126.8670646,49.01609039306641,0.0,3.0,42.14,20.02,47.52
0.0,35.1476374,126.790654,22.54300880432129,0.0,25.0,22.06,48.99,222.05
0.0,35.1357353,126.9241961,57.75812530517578,0.0,0.0,16.8,8.19,48.74
0.0,35.136732,126.8017053,19.0,0.0,25.0,22.06,48.99,222.05
9.1,35.152947,126.8363929,17.32593727111816,0.0,3.0,42.14,20.02,47.52
0.0,35.1373337,126.9170981,57.12794494628906,0.0,4.0,27.86,16.88,60.58
0.1,35.1161325,126.6802655,35.41564178466797,0.0,25.0,22.06,48.99,222.05
0.0,35.1665839,126.7421827,28.42120552062988,0.0,25.0,22.06,48.99,222.05
0.0,35.1593475,126.9359779,89.45164489746094,0.0,0.0,16.8,8.19,48.74
0.0,35.1475987,126.8663612,39.2722053527832,0.0,3.0,42.14,20.02,47.52
0.0,35.2108425,126.8421566,30.44111442565918,0.0,25.0,22.06,48.99,222.05
1.6,35.1184123,126.6836246,30.89485549926758,0.0,25.0,22.06,48.99,222.05
